SMILES,AtomDegreeDescriptor-aNeg,AtomHybridizationDescriptor-aHyb,AtomHybridizationVSEPRDescriptor-hybr,AtomValenceDescriptor-val,BondsToAtomDescriptor-bondsToAtom,CovalentRadiusDescriptor-covalentRadius,DistanceToAtomDescriptor-distanceToAtom,EffectiveAtomPolarizabilityDescriptor-effAtomPol,IPAtomicHOSEDescriptor-ipAtomicHOSE,InductiveAtomicHardnessDescriptor-indAtomHardnesss,InductiveAtomicSoftnessDescriptor-indAtomSoftness,IsProtonInAromaticSystemDescriptor-protonInArmaticSystem,IsProtonInConjugatedPiSystemDescriptor-protonInConjSystem,PartialPiChargeDescriptor-pepe,PartialSigmaChargeDescriptor-partialSigmaCharge,PartialTChargeMMFF94Descriptor-partialTCMMFF94,PartialTChargePEOEDescriptor-pepeT,PeriodicTablePositionDescriptor-periodicTablePosition,PiElectronegativityDescriptor-elecPiA,ProtonAffinityHOSEDescriptor-protonAffiHOSE,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge1,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge2,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge3,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge4,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge5,RDFProtonDescriptor_G3R-g3r_1,RDFProtonDescriptor_G3R-g3r_2,RDFProtonDescriptor_G3R-g3r_3,RDFProtonDescriptor_G3R-g3r_4
C,1.0,3.0,3.0,4.0,0.0,0.77,null,5.8555234375000005,0.0,null,null,0.0,null,0.0,0.10124077285069921,0.0,0.10124077285069921,2.0,0.0,0.0,0.101081131861282,null,null,null,null,null,8.927133493497083,0.0,1.7
N,3.0,4.0,4.0,5.0,1.0,0.75,null,7.811546875000001,0.0,null,null,0.0,null,0.45903283634745506,-0.2109498168305878,0.348,0.24808301951686726,2.0,2.363873893005913,0.0,-0.21112988785162462,null,null,null,null,null,9.316197741625588,0.0,1.6
C,2.0,2.0,2.0,4.0,2.0,0.77,null,6.916046875000002,0.0,null,null,0.0,null,-0.08714917768162038,0.15177225490890078,-0.336,0.0646230772272804,2.0,7.22824152710624,0.0,0.15205228858807904,null,null,null,null,null,10.242038376322853,0.0,1.7
N,2.0,2.0,2.0,5.0,3.0,0.75,null,7.19546875,0.0,null,null,0.0,null,-0.15338678426359095,-0.2346172682155698,0.336,-0.38800405247916075,2.0,6.814144831257486,0.0,-0.23426603907335342,null,null,null,null,null,10.304582154835758,0.0,1.6
C,3.0,2.0,2.0,4.0,3.0,0.77,null,8.675562500000002,0.0,null,null,0.0,null,-0.1527239217017129,0.07367243847533121,-0.32400000000000007,-0.07905148322638168,2.0,6.574752035799726,0.0,0.07369761729314848,null,null,null,null,null,9.485063114752121,0.0,1.7
C,2.0,3.0,3.0,4.0,4.0,0.77,null,8.405062500000001,0.0,null,null,0.0,null,0.0,0.07689746627413509,0.168,0.07689746627413509,2.0,0.0,0.0,0.07613552667940938,null,null,null,null,null,8.689821777551751,0.0,1.7
C,3.0,3.0,3.0,4.0,5.0,0.77,null,8.198093750000002,0.0,null,null,0.0,null,0.0,0.1865527878666372,0.348,0.1865527878666372,2.0,0.0,0.0,0.18589859324051713,null,null,null,null,null,9.751518665449298,0.0,1.7
N,1.0,3.0,3.0,5.0,6.0,0.75,null,5.758546875000002,0.0,null,null,0.0,null,0.0,-0.12194293973728636,-0.253,-0.12194293973728636,2.0,3.202605724354751,0.0,-0.12174130959518459,null,null,null,null,null,10.242915517368354,0.0,1.6
C,3.0,2.0,2.0,4.0,6.0,0.77,null,6.310171875,0.0,null,null,0.0,null,0.32666664694492226,0.31884708479152657,0.9530000000000001,0.6455137317364488,2.0,8.705684501548113,0.0,0.3189446090686771,null,null,null,null,null,11.916169508637566,0.0,1.7
O,1.0,3.0,3.0,6.0,7.0,0.73,null,4.468335937499999,0.0,null,null,0.0,null,0.31191149604039686,-0.14787548020823513,-1.817,0.16403601583216174,2.0,5.87714794200714,0.0,-0.14772193977922898,null,null,null,null,null,12.301764800426433,0.0,1.55
O,1.0,2.0,2.0,6.0,7.0,0.73,null,4.0760859375,0.0,null,null,0.0,null,-0.6279195506258091,-0.2606464017176873,-0.5920000000000001,-0.8885659523434963,2.0,8.406667413588519,0.0,-0.26000926607130154,null,null,null,null,null,13.516246485544933,0.0,1.55
C,2.0,2.0,2.0,4.0,2.0,0.77,null,7.83209375,0.0,null,null,0.0,null,-0.05511436034102203,0.06704910154213643,-0.19199999999999998,0.011934741201114402,2.0,6.520420804343301,0.0,0.06705867563958014,null,null,null,null,null,9.421777124588472,0.0,1.7
