Table of Peaks

No. 	(ppm) 	(Hz) 	Height
1 	5.29 	2643.1 	0.0140 	
2 	5.28 	2641.0 	0.0117 	
3 	5.28 	2640.1 	0.0117 	
4 	5.28 	2637.8 	0.0127 	
5 	3.49 	1743.0 	0.0221 	
6 	3.48 	1738.8 	0.0362 	
7 	3.47 	1732.1 	0.0473 	
8 	3.46 	1727.6 	0.0682 	
9 	3.45 	1722.8 	0.0468 	
10 	3.43 	1716.3 	0.0350 	
11 	3.42 	1711.7 	0.0202 	
12 	2.37 	1184.0 	0.0349 	
13 	2.36 	1178.8 	0.0421 	
14 	2.35 	1173.8 	0.0430 	
15 	2.34 	1168.3 	0.0878 	
16 	2.33 	1163.0 	0.0579 	
17 	2.32 	1157.9 	0.0625 	
18 	2.31 	1152.8 	0.0553 	
19 	2.25 	1122.2 	0.0484 	
20 	2.24 	1117.4 	0.0979 	
21 	2.22 	1110.8 	0.1480 	
22 	2.22 	1107.9 	0.1304 	
23 	2.21 	1103.8 	0.1021 	
24 	2.20 	1101.4 	0.1243 	
25 	2.19 	1094.7 	0.1012 	
26 	2.18 	1092.0 	0.1020 	
27 	2.17 	1085.0 	0.0694 	
28 	2.16 	1081.2 	0.0641 	
29 	2.14 	1070.0 	0.0221 	
30 	2.14 	1068.1 	0.0208 	
31 	2.00 	1000.1 	0.0106 	
32 	1.99 	994.2 	0.0130 	
33 	1.97 	984.9 	0.0109 	
34 	1.97 	984.2 	0.0112 	
35 	1.96 	981.2 	0.0227 	
36 	1.95 	974.4 	0.0497 	
37 	1.94 	971.1 	0.0804 	
38 	1.94 	969.2 	0.0922 	
39 	1.93 	962.2 	0.0948 	
40 	1.92 	958.9 	0.1102 	
41 	1.91 	955.2 	0.0685 	
42 	1.90 	950.3 	0.0365 	
43 	1.89 	945.2 	0.0571 	
44 	1.89 	942.7 	0.0548 	
45 	1.88 	938.0 	0.0288 	
46 	1.83 	917.1 	0.0256 	
47 	1.82 	911.1 	0.0334 	
48 	1.82 	907.8 	0.0511 	
49 	1.80 	901.6 	0.0670 	
50 	1.80 	898.1 	0.1030 	
51 	1.79 	894.6 	0.1444 	
52 	1.78 	891.8 	0.1747 	
53 	1.78 	888.9 	0.1358 	
54 	1.77 	885.2 	0.1211 	
55 	1.76 	881.8 	0.1861 	
56 	1.76 	878.5 	0.1514 	
57 	1.75 	872.3 	0.0750 	
58 	1.74 	868.7 	0.0547 	
59 	1.73 	865.3 	0.0342 	
60 	1.72 	861.4 	0.0276 	
61 	1.72 	858.7 	0.0262 	
62 	1.57 	785.7 	0.0192 	
63 	1.57 	785.0 	0.0197 	
64 	1.57 	784.0 	0.0204 	
65 	1.56 	778.5 	0.0416 	
66 	1.55 	775.3 	0.0459 	
67 	1.54 	771.2 	0.0527 	
68 	1.54 	768.6 	0.0728 	
69 	1.53 	766.3 	0.0737 	
70 	1.53 	763.8 	0.0728 	
71 	1.52 	762.2 	0.0724 	
72 	1.52 	759.0 	0.0873 	
73 	1.51 	757.0 	0.0910 	
74 	1.51 	754.3 	0.0729 	
75 	1.49 	746.9 	0.1043 	
76 	1.49 	744.2 	0.1082 	
77 	1.47 	736.8 	0.1866 	
78 	1.47 	734.6 	0.1851 	
79 	1.45 	726.8 	0.1096 	
80 	1.45 	726.3 	0.1093 	
81 	1.45 	723.5 	0.1320 	
82 	1.44 	718.3 	0.1819 	
83 	1.43 	714.8 	0.1708 	
84 	1.42 	711.0 	0.1560 	
85 	1.42 	707.8 	0.1349 	
86 	1.40 	701.7 	0.1693 	
87 	1.40 	697.7 	0.1823 	
88 	1.38 	691.2 	0.1338 	
89 	1.38 	690.9 	0.1338 	
90 	1.38 	689.5 	0.1337 	
91 	1.37 	686.2 	0.1375 	
92 	1.36 	681.8 	0.0814 	
93 	1.35 	676.0 	0.0626 	
94 	1.35 	672.9 	0.0410 	
95 	1.34 	668.7 	0.0270 	
96 	1.33 	666.4 	0.0289 	
97 	1.33 	662.8 	0.0505 	
98 	1.32 	657.6 	0.0541 	
99 	1.31 	653.0 	0.0764 	
100 	1.30 	650.4 	0.1212 	
101 	1.29 	644.2 	0.0756 	
102 	1.28 	639.3 	0.0884 	
103 	1.27 	634.5 	0.0951 	
104 	1.26 	631.4 	0.1341 	
105 	1.25 	625.4 	0.1043 	
106 	1.23 	613.1 	0.1236 	
107 	1.22 	607.7 	0.2276 	
108 	1.21 	602.8 	0.1158 	
109 	1.19 	593.1 	0.2934 	
110 	1.15 	576.2 	0.0448 	
111 	1.15 	575.7 	0.0446 	
112 	1.15 	575.1 	0.0448 	
113 	1.15 	574.3 	0.0455 	
114 	1.14 	572.3 	0.0434 	
115 	1.14 	571.5 	0.0447 	
116 	1.14 	567.9 	0.0434 	
117 	1.14 	567.3 	0.0433 	
118 	1.13 	566.9 	0.0434 	
119 	1.13 	563.1 	0.0711 	
120 	1.12 	558.6 	0.0695 	
121 	1.11 	554.4 	0.0439 	
122 	1.10 	550.3 	0.0968 	
123 	1.09 	545.8 	0.0895 	
124 	1.08 	537.7 	0.0679 	
125 	1.07 	532.7 	0.1113 	
126 	1.05 	523.2 	0.1473 	
127 	1.04 	519.8 	0.1260 	
128 	1.03 	513.6 	0.1703 	
129 	1.01 	507.2 	0.1465 	
130 	1.01 	503.0 	0.1335 	
131 	0.99 	495.7 	0.0681 	
132 	0.99 	493.0 	0.0740 	
133 	0.98 	489.4 	0.0746 	
134 	0.96 	479.3 	0.1026 	
135 	0.94 	469.3 	1.0000 	
136 	0.92 	462.2 	0.0904 	
137 	0.91 	456.7 	0.0653 	
138 	0.91 	453.4 	0.0479 	
139 	0.90 	449.3 	0.0779 	
140 	0.88 	440.2 	0.5502 	
141 	0.87 	433.7 	0.5325 	
142 	0.64 	320.3 	0.0362 	
143 	0.64 	318.8 	0.0331 	
144 	0.62 	308.2 	0.9005 	
145 	0.60 	299.0 	0.0090 	


Table of Multiplets

No. 	Shift1 (ppm) 	Hs 	Type 	J (Hz) 	Atom1 	Multiplet1 	 (ppm)
1 	5.28 	1 	dd 	3.04 2.22 	11 	M01 	5.24 .. 5.32
2 	3.46 	2 	m 	- 	8 	M02 	3.40 .. 3.52
3 	2.34 	2 	ddd 	15.69 10.29 5.17 	23 	M03 	2.29 .. 2.40
4 	2.19 	6 	m 	- 	23 9 	M04 	2.11 .. 2.28
5 	1.94 	4 	m 	- 	12 16 	M05 	1.86 .. 2.01
6 	1.77 	8 	m 	- 	7 22 6 14 	M06 	1.69 .. 1.85
7 	1.46 	19 	m 	- 	7 21 3 17 12 15 	M07 	1.34 .. 1.57
8 	1.23 	15 	m 	- 	22 14 	M08 	1.14 .. 1.33
9 	1.07 	11 	m 	- 	2 15 13 16 	M09 	0.97 .. 1.14
10 	0.94 	5 	s 	- 	19 	M11 	0.93 .. 0.95
11 	0.93 	8 	m 	- 	6 	M10 	0.91 .. 0.97
12 	0.87 	6 	d 	6.45 	26 	M12 	0.86 .. 0.89
13 	0.87 	8 	m 	- 	4 	M13 	0.84 .. 0.90
14 	0.62 	5 	s 	- 	18 	M14 	0.61 .. 0.64


Table of Assignments

No. 	Atom 	Exp. Shift (ppm) 	Multiplet
1 	47 	5.28 	M01
2 	57 	3.46 	M02
3 	61 	2.34 	M03
4 	51 	2.19 	M04
5 	62 	2.19 	M04
6 	31 	1.94 	M05
7 	39 	1.94 	M05
8 	37 	1.77 	M06
9 	45 	1.77 	M06
10 	55 	1.77 	M06
11 	53 	1.77 	M06
12 	54 	1.46 	M07
13 	41 	1.46 	M07
14 	28 	1.46 	M07
15 	35 	1.46 	M07
16 	40 	1.46 	M07
17 	33 	1.46 	M07
18 	38 	1.23 	M08
19 	56 	1.23 	M08
20 	32 	1.07 	M09
21 	30 	1.07 	M09
22 	34 	1.07 	M09
23 	27 	1.07 	M09
24 	48 	0.94 	M11
25 	46 	0.93 	M10
26 	58 	0.87 	M12
27 	29 	0.87 	M13
28 	42 	0.62 	M14
