Table of Peaks
No.	(ppm)	(Hz)	Height
1	1.567	940.06	0.0168
2	1.580	947.34	0.0405
3	1.589	953.15	0.0906
4	1.599	958.69	0.1032
5	1.602	960.54	0.1340
6	1.608	964.37	0.1294
7	1.611	965.94	0.1586
8	1.614	967.90	0.1356
9	1.620	971.62	0.1815
10	1.624	973.66	0.1552
11	1.626	975.31	0.1557
12	1.629	977.16	0.1764
13	1.632	978.62	0.1624
14	1.636	981.30	0.1720
15	1.642	984.58	0.1678
16	1.644	985.71	0.1653
17	1.648	988.52	0.1236
18	1.654	991.85	0.1646
19	1.666	999.07	0.1230
20	1.676	1005.17	0.0588
21	1.688	1012.33	0.0284
22	1.716	1028.84	0.0268
23	1.726	1035.40	0.0507
24	1.731	1038.38	0.0751
25	1.737	1041.85	0.1749
26	1.743	1045.05	0.1693
27	1.749	1048.83	0.4778
28	1.754	1051.66	0.6275
29	1.761	1056.16	0.7103
30	1.765	1058.61	0.9712
31	1.771	1062.22	0.6457
32	1.773	1063.30	0.6541
33	1.777	1065.91	0.8972
34	1.782	1068.53	0.7040
35	1.794	1075.75	0.4387
36	1.796	1077.05	0.3883
37	1.804	1081.82	0.2671
38	1.806	1083.20	0.2330
39	1.810	1085.29	0.2957
40	1.816	1088.90	0.1085
41	1.820	1091.47	0.1985
42	1.822	1092.87	0.2152
43	1.828	1096.23	0.1443
44	1.831	1098.36	0.1363
45	1.837	1101.80	0.1129
46	1.840	1103.45	0.1277
47	1.849	1109.08	0.0971
48	1.854	1111.92	0.1163
49	1.863	1117.48	0.1898
50	1.873	1123.02	0.2010
51	1.882	1128.45	0.1760
52	1.888	1132.04	0.1127
53	1.891	1133.88	0.1153
54	1.897	1137.38	0.1004
55	1.906	1142.93	0.0822
56	1.915	1148.38	0.0427
57	2.043	1225.04	0.0603
58	2.053	1231.18	0.1295
59	2.064	1237.60	0.3064
60	2.070	1241.49	0.3221
61	2.073	1243.47	0.4125
62	2.079	1247.11	0.2722
63	2.082	1248.88	0.2822
64	2.086	1251.25	0.2441
65	2.096	1256.82	0.2246
66	2.103	1261.47	0.1003
67	2.196	1317.04	0.0159
68	2.208	1324.29	0.0294
69	2.222	1332.34	0.4989
70	2.234	1339.75	0.9021
71	2.246	1347.22	0.4310
72	2.259	1354.94	0.0286
73	2.271	1362.24	0.0129
74	2.289	1372.80	0.0404
75	2.300	1379.08	0.0702
76	2.311	1386.25	0.0568
77	2.321	1391.85	0.4482
78	2.326	1395.04	0.7208
79	2.330	1397.66	1.0000
80	2.335	1400.56	0.9436
81	2.340	1403.59	0.6638
82	2.346	1406.92	0.4597
83	2.356	1412.93	0.0707
84	2.366	1419.19	0.0740
85	2.377	1425.31	0.0363
86	3.719	2230.31	0.3207
87	3.728	2235.52	0.3790
88	3.731	2237.56	0.3729
89	3.740	2242.77	0.3174
90	3.941	2363.74	0.2545
91	3.945	2365.70	0.2903
92	3.953	2370.72	0.5977
93	3.956	2372.26	0.5081
94	3.961	2375.43	0.2855
95	3.963	2376.53	0.2940

Table of Multiplets
No.	Shift1 (ppm)	Hs	Type	J (Hz)	Atom1	Multiplet1	 (ppm)
1	1.626	1	m	-	7	M06	1.563 .. 1.698
2	1.812	2	m	-	7 6	M05	1.709 .. 1.925
3	2.075	1	m	-	6	M04	2.032 .. 2.122
4	2.234	1	t	7.44	8	M03	2.193 .. 2.275
5	2.333	1	m	-	8	M02	2.281 .. 2.387
6	3.864	1	m	-	4	M01	3.701 .. 3.987

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	13	1.626	M06
2	14	1.812	M05
3	11	1.812	M05
4	12	2.075	M04
5	16	2.234	M03
6	17	2.333	M02
7	7	3.864	M01
