Table of Peaks
No. 	(ppm) 	(Hz) 	Height
1 	0.74 	371.3 	1.0000 	
2 	0.80 	400.4 	0.9623 	
3 	0.87 	437.2 	0.0314 	
4 	0.89 	444.6 	0.0581 	
5 	0.90 	447.7 	0.0633 	
6 	0.91 	452.9 	0.0667 	
7 	0.92 	459.9 	0.0570 	
8 	0.93 	465.4 	0.0646 	
9 	0.94 	469.0 	0.0472 	
10 	0.95 	476.7 	0.0584 	
11 	0.96 	480.2 	0.0639 	
12 	0.98 	487.7 	0.0637 	
13 	0.98 	492.1 	0.0503 	
14 	1.00 	499.4 	0.0466 	
15 	1.03 	513.1 	0.0320 	
16 	1.03 	517.2 	0.0336 	
17 	1.05 	526.0 	0.0708 	
18 	1.06 	529.9 	0.0708 	
19 	1.08 	538.7 	0.0454 	
20 	1.09 	542.7 	0.0448 	
21 	1.18 	587.5 	0.0373 	
22 	1.18 	591.1 	0.0402 	
23 	1.20 	599.5 	0.0632 	
24 	1.21 	602.9 	0.1116 	
25 	1.22 	608.8 	0.1545 	
26 	1.23 	612.6 	0.1298 	
27 	1.23 	614.9 	0.1396 	
28 	1.24 	621.2 	0.1500 	
29 	1.26 	631.4 	0.3356 	
30 	1.28 	638.9 	0.1611 	
31 	1.29 	645.7 	0.1139 	
32 	1.31 	654.9 	0.1283 	
33 	1.32 	659.3 	0.1083 	
34 	1.34 	668.5 	0.0657 	
35 	1.35 	672.8 	0.0611 	
36 	1.37 	685.0 	0.0750 	
37 	1.38 	687.8 	0.0904 	
38 	1.40 	698.5 	0.1661 	
39 	1.41 	706.5 	0.1071 	
40 	1.42 	710.2 	0.1044 	
41 	1.44 	718.4 	0.0728 	
42 	1.44 	721.7 	0.0463 	
43 	1.45 	727.1 	0.0322 	
44 	1.46 	730.7 	0.0744 	
45 	1.47 	734.6 	0.0778 	
46 	1.48 	737.7 	0.0626 	
47 	1.49 	743.5 	0.0706 	
48 	1.49 	746.0 	0.0752 	
49 	1.50 	750.9 	0.0494 	
50 	1.51 	755.9 	0.0994 	
51 	1.52 	758.3 	0.0956 	
52 	1.54 	768.5 	0.1479 	
53 	1.54 	771.6 	0.0747 	
54 	1.55 	776.9 	0.0742 	
55 	1.56 	779.3 	0.0758 	
56 	1.57 	782.7 	0.0514 	
57 	1.58 	789.7 	0.1136 	
58 	1.59 	792.4 	0.1417 	
59 	1.59 	796.1 	0.1329 	
60 	1.60 	800.1 	0.1244 	
61 	1.61 	802.4 	0.1173 	
62 	1.61 	805.1 	0.1118 	
63 	1.62 	809.3 	0.0955 	
64 	1.62 	812.1 	0.0810 	
65 	1.63 	814.9 	0.0873 	
66 	1.64 	817.6 	0.0904 	
67 	1.64 	819.2 	0.0837 	
68 	1.64 	821.7 	0.0634 	
69 	1.66 	831.0 	0.0970 	
70 	1.67 	834.1 	0.1116 	
71 	1.68 	838.9 	0.0721 	
72 	1.69 	846.1 	0.1043 	
73 	1.78 	890.3 	0.0547 	
74 	1.79 	893.5 	0.0792 	
75 	1.79 	896.8 	0.0531 	
76 	1.81 	902.7 	0.0538 	
77 	1.81 	905.9 	0.0743 	
78 	1.82 	909.1 	0.0473 	
79 	2.02 	1008.4 	0.0199 	
80 	2.02 	1011.1 	0.0349 	
81 	2.03 	1017.1 	0.0354 	
82 	2.04 	1020.4 	0.0529 	
83 	2.05 	1026.1 	0.0602 	
84 	2.06 	1030.1 	0.0528 	
85 	2.07 	1034.0 	0.0574 	
86 	2.08 	1039.7 	0.0473 	
87 	2.09 	1043.2 	0.0269 	
88 	2.10 	1049.1 	0.0221 	
89 	3.63 	1812.5 	0.0417 	
90 	3.64 	1820.9 	0.0782 	
91 	3.66 	1829.4 	0.0408 	
92 	4.05 	2025.4 	0.0839 	

Table of Multiplets
No. 	Shift1 (ppm) 	Hs 	Type 	J (Hz) 	Atom1 	Multiplet1 	 (ppm)
1 	4.05 	1 	br. s. 	- 	11 	M01 	4.03 .. 4.07
2 	3.64 	1 	t 	8.44 	6 	M02 	3.61 .. 3.67
3 	2.06 	1 	m 	- 	7 	M03 	2.01 .. 2.10
4 	1.80 	1 	td 	12.33 3.24 	 	M06 	1.77 .. 1.83
5 	1.54 	10 	m 	- 	3a 13 7 10 8 9a 14 12 16 	M10 	1.36 .. 1.71
6 	1.26 	7 	m 	- 	10 13 14 8 17 	M09 	1.17 .. 1.36
7 	1.06 	1 	td 	12.79 4.03 	15 	M08 	1.02 .. 1.09
8 	0.94 	2 	m 	- 	4a 16 	M07 	0.87 .. 1.01
9 	0.80 	3 	s 	- 	18 	M05 	0.79 .. 0.81
10 	0.74 	3 	s 	- 	2a 19 	M04 	0.73 .. 0.75

Table of Assignments
No. 	Atom 	Exp. Shift (ppm) 	Multiplet
1 	21	0.74 	M04
2 	45 	0.74 	M04
3 	42 	0.80 	M05
4 	23 	0.94 	M07
5 	29 	0.94 	M07
6 	27 	1.06 	M08
7 	40 	1.26 	M09
8 	36 	1.26 	M09
9 	25 	1.26 	M09
10 	31 	1.26 	M09
11 	34 	1.26 	M09
12 	22 	1.54 	M10
13 	36 	1.54 	M10
14 	38 	1.54 	M10
15 	41 	1.54 	M10
16 	32 	1.54 	M10
17 	24 	1.54 	M10
18 	26 	1.54 	M10
19 	48 	1.54 	M10
20 	30 	1.54 	M10
21 	39 	2.06 	M03
22 	33 	3.64 	M02
23 	50 	4.05 	M01
