Table of Peaks
No.	(ppm)	Height
1	3.40	0.0013
2	3.41	0.0026
3	3.42	0.0033
4	3.44	0.0049
5	3.45	0.0031
6	3.60	0.0046
7	3.62	0.0061
8	3.65	0.0092
9	3.65	0.0090
10	3.68	0.0058
11	3.70	0.0080
12	3.78	0.0065
13	3.80	0.0094
14	3.82	0.0113
15	3.84	0.0123
16	3.86	0.0107
17	3.96	0.0046
18	5.40	0.0090

Table of Multiplets
No.	Shift1 (ppm)	Hs	Type	Atom1					Multiplet1	 (ppm)
1	3.40		2	m	20 28					M05		3.36 .. 3.50
2	3.60		10	m	22 30 8 5 29 21 19 27 3 10		M04		3.54 .. 3.74
3	3.80		10	m	36 41 23 6 13 34			M03		3.75 .. 3.92
4	3.96		2	br. s.	4 9					M02		3.93 .. 4.05
5	5.40		4	br. s.	25 17 2 11				M01		5.27 .. 5.56

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	58	3.40		M05
2	65	3.40		M05
3	55	3.60		M04
4	62	3.60		M04
5	50	3.60		M04
6	45	3.60		M04
7	64	3.60		M04
8	57	3.60		M04
9	59	3.60		M04
10	66	3.60		M04
11	48	3.60		M04
12	60	3.60		M04
13	71	3.80		M03
14	75	3.80		M03
15	52	3.80		M03
16	47	3.80		M03
17	56	3.80		M03
18	70	3.80		M03
19	47	3.96		M02
20	54	3.96		M02
21	61	5.40		M01
22	51	5.40		M01
23	49	5.40		M01
24	63	5.40		M01

