Table of Peaks
No.	(ppm)	Height
1	0.98	0.0335
2	1.00	0.0335
3	1.02	0.0043
4	1.03	0.0057
5	1.05	0.0131
6	1.05	0.0143
7	1.06	0.0355
8	1.07	0.0163
9	1.08	0.0302
10	1.09	0.0051
11	1.11	0.0038
12	1.11	0.0041
13	1.13	0.0092
14	1.13	0.0095
15	1.17	0.1949
16	1.21	0.1513
17	1.27	0.0013
18	1.27	0.0015
19	1.28	0.0024
20	1.30	0.0038
21	1.30	0.0074
22	1.32	0.0120
23	1.32	0.0124
24	1.34	0.0181
25	1.34	0.0145
26	1.36	0.0173
27	1.37	0.0191
28	1.37	0.0291
29	1.38	0.0104
30	1.39	0.0277
31	1.41	0.0118
32	1.43	0.0244
33	1.43	0.0238
34	1.44	0.0342
35	1.46	0.0303
36	1.48	0.0357
37	1.50	0.0305
38	1.58	0.0083
39	1.59	0.0110
40	1.60	0.0115
41	1.61	0.0230
42	1.61	0.0237
43	1.63	0.0302
44	1.64	0.0161
45	1.64	0.0210
46	1.65	0.0186
47	1.66	0.0085
48	1.66	0.0086
49	1.67	0.0103
50	1.67	0.0118
51	1.68	0.0161
52	1.69	0.0162
53	1.70	0.0198
54	1.70	0.0191
55	1.71	0.0112
56	1.72	0.0140
57	1.74	0.0041
58	1.74	0.0036
59	1.77	0.0080
60	1.78	0.0144
61	1.78	0.0129
62	1.79	0.0171
63	1.80	0.0195
64	1.81	0.0146
65	1.81	0.0138
66	1.82	0.0124
67	1.82	0.0117
68	1.83	0.0122
69	1.83	0.0147
70	1.84	0.0153
71	1.85	0.0106
72	1.85	0.0105
73	1.86	0.0109
74	1.91	0.0088
75	1.91	0.0098
76	1.92	0.0084
77	1.92	0.0075
78	1.93	0.0080
79	1.93	0.0083
80	1.99	0.0110
81	2.00	0.0105
82	2.01	0.0106
83	2.02	0.0076
84	2.08	0.0072
85	2.08	0.0107
86	2.09	0.0321
87	2.10	0.0324
88	2.10	0.0318
89	2.11	0.0234
90	2.11	0.0250
91	2.12	0.0302
92	2.12	0.0280
93	2.13	0.0148
94	2.13	0.0111
95	2.15	0.0214
96	2.15	0.0248
97	2.18	0.0250
98	2.18	0.0294
99	2.22	0.0328
100	2.23	0.0268
101	2.23	0.0271
102	2.23	0.0304
103	2.24	0.0215
104	2.24	0.0305
105	2.25	0.0357
106	2.37	0.0078
107	2.37	0.0080
108	2.38	0.0089
109	2.38	0.0089
110	2.39	0.0141
111	2.40	0.0136
112	2.42	0.0286
113	2.43	0.0261
114	2.44	0.0339
115	2.45	0.0267
116	2.47	0.0378
117	2.48	0.0270
118	2.51	0.0251
119	2.52	0.0197
120	2.53	0.0138
121	2.84	0.0186
122	2.86	0.0276
123	2.87	0.0152
124	3.16	0.0150
125	3.17	0.0169
126	3.18	0.0191
127	3.19	0.0167
128	3.28	0.0197
129	3.29	0.0231
130	3.30	0.0279
131	3.31	0.0534
132	4.03	0.0172
133	4.04	0.0161
134	4.06	0.0247
135	4.07	0.0249
136	4.15	0.0254
137	4.16	0.0241
138	4.18	0.0157
139	4.19	0.0147
140	4.43	0.0315
141	4.44	0.0289
142	4.62	0.0069
143	4.63	0.0114
