Table of Peaks
No.	(ppm)	Height
1	1.21	0.1059
2	1.24	1.0000
3	1.24	0.4937
4	1.48	0.0826
5	1.48	0.0695
6	2.17	0.0612
7	2.18	0.1291
8	2.19	0.0803
9	2.19	0.0876
10	2.20	0.0278

Table of Multiplets
No.	Shift1 (ppm)	Hs	Type	Atom1						Multiplet1	 (ppm)
1	1.23		24	m	17 16 15 14 13 12 11 10 9 8 7 6		M03		1.13 .. 1.32
2	1.48		4	m	18 5						M02		1.41 .. 1.54
3	2.19		4	m	19 4						M01		2.11 .. 2.24

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	17	1.23		M03
2	16	1.23		M03
3	15	1.23		M03
4	14	1.23		M03
5	13	1.23		M03
6	12	1.23		M03
7	11	1.23		M03
8	10	1.23		M03
9	9	1.23		M03
10	8	1.23		M03
11	7	1.23		M03
12	6	1.23		M03
13	18	1.48		M02
14	5	1.48		M02
15	19	2.19		M01
16	4	2.19		M01

