
Table of Peaks

No. 	(ppm) 	(Hz) 	Height
1 	-0.00 	-0.0 	0.8709 	
2 	0.22 	107.7 	0.6190 	
3 	0.22 	109.9 	0.6253 	
4 	0.23 	114.2 	0.6376 	
5 	0.23 	116.6 	0.6293 	
6 	0.25 	125.8 	0.3995 	
7 	0.26 	132.3 	0.4276 	
8 	0.28 	139.2 	1.0000 	
9 	0.32 	160.6 	0.0805 	
10 	0.33 	164.1 	0.0779 	
11 	0.34 	167.9 	0.0476 	
12 	0.35 	175.1 	0.0733 	
13 	0.36 	177.7 	0.0897 	
14 	0.36 	181.0 	0.0345 	
15 	0.37 	182.9 	0.0364 	
16 	0.37 	186.8 	0.0403 	
17 	0.38 	188.7 	0.0415 	
18 	0.39 	193.8 	0.0701 	
19 	0.40 	199.0 	0.1190 	
20 	0.41 	203.9 	0.0764 	
21 	0.41 	207.2 	0.0914 	
22 	0.42 	211.2 	0.0430 	
23 	0.43 	217.1 	0.1209 	
24 	0.45 	226.8 	0.1391 	
25 	0.47 	236.3 	0.1572 	
26 	0.49 	246.1 	0.1402 	
27 	0.50 	249.4 	0.1058 	
28 	0.52 	258.6 	0.0694 	
29 	0.52 	262.3 	0.0650 	
30 	0.54 	267.6 	0.0146 	
31 	0.55 	277.3 	0.0276 	
32 	0.56 	280.6 	0.0318 	
33 	0.57 	287.0 	0.0467 	
34 	0.58 	290.4 	0.0695 	
35 	0.59 	293.9 	0.0668 	
36 	0.60 	298.8 	0.0918 	
37 	0.60 	300.6 	0.0947 	
38 	0.62 	310.5 	0.0662 	
39 	0.62 	312.4 	0.0681 	
40 	0.63 	314.1 	0.0683 	
41 	0.65 	323.9 	0.0246 	
42 	0.65 	327.1 	0.0335 	
43 	0.66 	331.0 	0.0224 	
44 	0.68 	338.3 	0.0979 	
45 	0.68 	341.3 	0.1185 	
46 	0.69 	342.7 	0.1291 	
47 	0.70 	347.4 	0.1208 	
48 	0.70 	350.4 	0.1665 	
49 	0.72 	362.1 	0.1547 	
50 	0.73 	365.1 	0.1457 	
51 	0.74 	369.6 	0.1499 	
52 	0.75 	373.8 	0.2756 	
53 	0.76 	378.2 	0.3104 	
54 	0.78 	387.5 	0.0328 	
55 	0.78 	391.1 	0.0498 	
56 	0.79 	394.1 	0.0454 	
57 	0.84 	418.9 	0.0135 	
58 	0.84 	421.4 	0.0245 	
59 	0.85 	425.3 	0.0638 	
60 	0.86 	431.9 	0.0798 	
61 	0.88 	438.4 	0.1099 	
62 	0.89 	442.4 	0.0547 	
63 	0.89 	444.9 	0.0781 	
64 	0.90 	448.9 	0.0366 	
65 	0.90 	452.0 	0.0532 	
66 	0.91 	455.7 	0.2409 	
67 	0.92 	458.5 	0.0515 	
68 	0.92 	461.8 	0.0396 	
69 	0.93 	463.5 	0.0335 	
70 	0.93 	466.6 	0.0331 	
71 	0.96 	480.8 	0.0049 	
72 	1.00 	500.2 	0.0316 	
73 	1.01 	504.2 	0.0398 	
74 	1.01 	506.6 	0.0344 	
75 	1.03 	512.4 	0.0301 	
76 	1.03 	515.0 	0.0336 	
77 	1.03 	515.7 	0.0337 	
78 	1.03 	516.5 	0.0337 	
79 	1.04 	518.8 	0.0274 	
80 	1.09 	542.3 	0.0351 	
81 	1.11 	555.0 	0.0662 	
82 	1.13 	566.4 	0.0973 	
83 	1.14 	569.8 	0.0798 	
84 	1.15 	573.1 	0.0465 	
85 	1.15 	576.2 	0.0262 	
86 	1.16 	580.2 	0.0715 	
87 	1.17 	584.2 	0.1023 	
88 	1.18 	589.0 	0.0740 	
89 	1.19 	593.6 	0.0563 	
90 	1.20 	598.6 	0.0561 	
91 	1.21 	602.7 	0.0742 	
92 	1.22 	607.5 	0.0403 	
93 	1.22 	612.2 	0.0181 	
94 	1.23 	616.7 	0.0243 	
95 	1.24 	621.0 	0.0135 	
96 	1.31 	656.5 	0.0327 	
97 	1.32 	659.6 	0.0588 	
98 	1.33 	662.6 	0.0385 	
99 	1.34 	668.8 	0.0363 	
100 	1.34 	671.8 	0.0561 	
101 	1.35 	674.6 	0.0344 	
102 	2.95 	1473.4 	0.0075 	
103 	2.96 	1477.9 	0.0213 	
104 	2.97 	1482.6 	0.0255 	
105 	2.97 	1484.1 	0.0229 	
106 	2.98 	1488.9 	0.0444 	
107 	2.99 	1493.5 	0.0440 	
108 	3.00 	1498.3 	0.0227 	
109 	3.00 	1499.9 	0.0253 	
110 	3.01 	1504.5 	0.0208 	
111 	3.02 	1509.1 	0.0077 	


Table of Multiplets

No. 	Shift1 (ppm) 	Hs 	Type 	J (Hz) 	Atom1 	Multiplet1 	 (ppm)
1 	0.22 	4 	d 	- 	25 	M11 	0.21 .. 0.23
2 	0.23 	4 	d 	- 	28 	M10 	0.22 .. 0.24
3 	0.26 	3 	d 	6.54 	27 	M09 	0.25 .. 0.27
4 	0.28 	3 	s 	- 	19 18 	M08 	0.27 .. 0.28
5 	0.42 	10 	m 	- 	13 8 4 6 23 16 22 15 	M07 	0.31 .. 0.54
6 	0.67 	13 	m 	- 	17 3 7 22 12 21 20 9 2 14 16 	M06 	0.54 .. 0.81
7 	0.89 	3 	m 	- 	10 24 8 	M05 	0.81 .. 0.96
8 	1.02 	1 	m 	- 	12 	M04 	0.97 .. 1.05
9 	1.17 	4 	m 	- 	10 13 17 7 	M03 	1.06 .. 1.26
10 	1.33 	1 	dt 	12.20 2.96 	15 	M02 	1.29 .. 1.38
11 	2.98 	1 	m 	- 	11 	M01 	2.91 .. 3.05


Table of Assignments

No. 	Atom 	Exp. Shift (ppm) 	Multiplet
1 	25 	0.22 	M11
2 	28 	0.23 	M10
3 	27 	0.26 	M09
4 	19 	0.28 	M08
5 	18 	0.28 	M08
6 	13 	0.42 	M07
7 	8 	0.42 	M07
8 	4 	0.42 	M07
9 	6 	0.42 	M07
10 	23 	0.42 	M07
11 	16 	0.42 	M07
12 	22 	0.42 	M07
13 	15 	0.42 	M07
14 	17 	0.67 	M06
15 	3 	0.67 	M06
16 	7 	0.67 	M06
17 	22 	0.67 	M06
18 	12 	0.67 	M06
19 	21 	0.67 	M06
20 	20 	0.67 	M06
21 	9 	0.67 	M06
22 	2 	0.67 	M06
23 	14 	0.67 	M06
24 	16 	0.67 	M06
25 	10 	0.89 	M05
26 	24 	0.89 	M05
27 	8 	0.89 	M05
28 	12 	1.02 	M04
29 	10 	1.17 	M03
30 	13 	1.17 	M03
31 	17 	1.17 	M03
32 	7 	1.17 	M03
33 	15 	1.33 	M02
34 	11 	2.98 	M01
