        F2ppm           F1ppm       Intensity
     1   6.6136          125.1502       668943.13
     2   6.2867          136.2722       144321.81
     3   6.1556          126.8147       639506.63
     4   6.1206          137.7567       702506.19
     5   6.1004          130.1269       659304.81
     6   5.6922          129.8013       935450.81
     7   4.3132           59.5800      1539018.25
     8   2.0120           32.8661      2061424.50
     9   1.8992           12.7519       686739.56
    10   1.7101           21.5763      3227397.31
    11   1.6101           19.2489      2221863.13
    12   1.4632           39.5040      2868220.13
    13   1.0060           28.8789      3143282.56
