Table of Peaks
No.	(ppm)	Height
1	0.65	0.2045
2	0.86	0.1537
3	0.86	0.1534
4	0.87	0.1577
5	0.87	0.1552
6	0.89	0.0961
7	0.91	0.0997
8	0.96	0.2563
9	0.97	0.0045
10	0.98	0.0089
11	0.99	0.0101
12	1.00	0.0046
13	1.01	0.0070
14	1.02	0.0100
15	1.03	0.0161
16	1.03	0.0162
17	1.03	0.0156
18	1.04	0.0190
19	1.04	0.0179
20	1.05	0.0247
21	1.05	0.0078
22	1.06	0.0081
23	1.06	0.0056
24	1.07	0.0076
25	1.07	0.0192
26	1.08	0.0071
27	1.08	0.0055
28	1.09	0.0213
29	1.10	0.0074
30	1.11	0.0153
31	1.12	0.0149
32	1.12	0.0149
33	1.13	0.0106
34	1.14	0.0225
35	1.14	0.0259
36	1.15	0.0144
37	1.15	0.0117
38	1.16	0.0131
39	1.17	0.0136
40	1.17	0.0106
41	1.17	0.0084
42	1.21	0.0029
43	1.21	0.0038
44	1.22	0.0069
45	1.23	0.0096
46	1.23	0.0060
47	1.24	0.0104
48	1.25	0.0123
49	1.26	0.0125
50	1.27	0.0119
51	1.28	0.0053
52	1.29	0.0057
53	1.29	0.0086
54	1.30	0.0097
55	1.31	0.0308
56	1.32	0.0273
57	1.32	0.0247
58	1.32	0.0255
59	1.33	0.0238
60	1.34	0.0276
61	1.35	0.0157
62	1.36	0.0144
63	1.36	0.0188
64	1.37	0.0268
65	1.37	0.0205
66	1.38	0.0144
67	1.38	0.0132
68	1.39	0.0209
69	1.40	0.0256
70	1.41	0.0070
71	1.42	0.0081
72	1.42	0.0069
73	1.43	0.0030
74	1.45	0.0017
75	1.46	0.0049
76	1.46	0.0067
77	1.47	0.0052
78	1.47	0.0025
79	1.48	0.0032
80	1.48	0.0092
81	1.49	0.0113
82	1.49	0.0120
83	1.49	0.0180
84	1.50	0.0117
85	1.50	0.0186
86	1.51	0.0186
87	1.52	0.0104
88	1.53	0.0158
89	1.54	0.0086
90	1.54	0.0067
91	1.55	0.0117
92	1.55	0.0150
93	1.56	0.0103
94	1.56	0.0070
95	1.57	0.0071
96	1.57	0.0081
97	1.58	0.0123
98	1.58	0.0106
99	1.59	0.0071
100	1.60	0.0051
101	1.60	0.0057
102	1.60	0.0025
103	1.69	0.0031
104	1.69	0.0039
105	1.70	0.0064
106	1.70	0.0064
107	1.70	0.0045
108	1.71	0.0038
109	1.71	0.0042
110	1.72	0.0049
111	1.72	0.0075
112	1.72	0.0074
113	1.73	0.0048
114	1.73	0.0037
115	1.78	0.0033
116	1.79	0.0037
117	1.80	0.0053
118	1.80	0.0050
119	1.81	0.0070
120	1.81	0.0050
121	1.82	0.0061
122	1.83	0.0027
123	1.83	0.0048
124	1.83	0.0034
125	1.84	0.0029
126	1.86	0.0036
127	1.87	0.0066
128	1.88	0.0038
129	1.89	0.0065
130	1.89	0.0110
131	1.90	0.0062
132	1.91	0.0031
133	1.92	0.0043
134	1.92	0.0023
135	1.96	0.0088
136	1.96	0.0124
137	1.97	0.0137
138	1.97	0.0076
139	1.98	0.0183
140	1.99	0.0213
141	1.99	0.0068
142	2.01	0.0062
143	2.01	0.0061
144	4.10	0.0129
145	4.10	0.0190
146	4.11	0.0132

Table of Multiplets
No.	Shift1 (ppm)	Hs	Type	J (Hz)	Atom1					Multiplet1	 (ppm)
1	0.65		3	s	-	20					M12		0.63 .. 0.66
2	0.86		6	dd	6.60 2.64	26 28				M11		0.84 .. 0.88
3	0.90		3	d	6.60	27					M10		0.88 .. 0.92
4	0.96		12	m	-	19 22 15 11 7 9 24 17 23 14	M09		0.94 .. 1.19
5	1.21		2	m	-	10 16					M08		1.20 .. 1.27
6	1.28		8	m	-	5 12 23 22 16 21 3 15		M07		1.28 .. 1.44
7	1.45		5	m	-	3 25 11 2				M06		1.44 .. 1.62
8	1.69		1	m	-	13					M05		1.67 .. 1.75
9	1.78		1	m	-	10					M04		1.77 .. 1.85
10	1.86		1	tt	-	14					M03		1.85 .. 1.94
11	1.96		2	m	-	17 12					M02		1.95 .. 2.02
12	4.10		1	m	-	1					M01		4.09 .. 4.12

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	20	0.65		M12
2	26	0.86		M11
3	28	0.86		M11
4	27	0.90		M10
5	19	0.96		M09
6	22	0.96		M09
7	15	0.96		M09
8	11	0.96		M09
9	7	0.96		M09
10	9	0.96		M09
11	24	0.96		M09
12	17	0.96		M09
13	23	0.96		M09
14	14	0.96		M09
15	10	1.21		M08
16	16	1.21		M08
17	5	1.28		M07
18	12	1.28		M07
19	23	1.28		M07
20	22	1.28		M07
21	16	1.28		M07
22	21	1.28		M07
23	3	1.28		M07
24	15	1.28		M07
25	3	1.45		M06
26	25	1.45		M06
27	11	1.45		M06
28	2	1.45		M06
29	13	1.69		M05
30	10	1.78		M04
31	14	1.86		M03
32	17	1.96		M02
33	12	1.96		M02
34	1	4.10		M01

