Table of Peaks
No.	(ppm)	(Hz)	Height
1	0.535	321.04	0.0680
2	0.797	478.18	0.0624
3	0.858	515.04	0.0500
4	0.863	517.90	0.0503
5	0.869	521.64	0.0519
6	0.874	524.56	0.0502
7	0.915	549.10	0.0295
8	0.926	555.64	0.0308
9	0.989	593.77	0.0034
10	1.005	603.51	0.0036
11	1.021	612.70	0.0016
12	1.063	638.34	0.0022
13	1.080	648.46	0.0044
14	1.086	652.15	0.0050
15	1.093	656.16	0.0024
16	1.103	662.05	0.0055
17	1.108	665.46	0.0036
18	1.114	668.71	0.0048
19	1.122	673.61	0.0036
20	1.125	675.53	0.0050
21	1.129	677.73	0.0038
22	1.133	680.15	0.0039
23	1.138	683.07	0.0037
24	1.144	686.54	0.0046
25	1.149	689.51	0.0041
26	1.154	692.59	0.0036
27	1.162	697.37	0.0027
28	1.179	707.50	0.0021
29	1.189	714.05	0.0027
30	1.194	716.85	0.0053
31	1.210	726.37	0.0088
32	1.218	731.21	0.0043
33	1.225	735.39	0.0034
34	1.233	740.12	0.0028
35	1.237	742.44	0.0026
36	1.241	745.02	0.0039
37	1.243	746.07	0.0035
38	1.255	753.66	0.0033
39	1.258	755.14	0.0034
40	1.264	758.61	0.0073
41	1.277	766.81	0.0032
42	1.282	769.84	0.0079
43	1.292	775.78	0.0018
44	1.297	778.75	0.0018
45	1.303	782.27	0.0041
46	1.325	795.14	0.0022
47	1.337	802.79	0.0081
48	1.343	806.15	0.0068
49	1.352	811.38	0.0074
50	1.355	813.19	0.0075
51	1.363	817.98	0.0092
52	1.370	822.71	0.0106
53	1.376	826.01	0.0062
54	1.380	828.32	0.0089
55	1.392	835.42	0.0055
56	1.394	837.07	0.0057
57	1.400	840.48	0.0077
58	1.410	846.59	0.0037
59	1.418	851.26	0.0033
60	1.425	855.39	0.0023
61	1.431	858.80	0.0016
62	1.434	860.95	0.0013
63	1.449	870.03	0.0028
64	1.456	874.32	0.0027
65	1.471	882.79	0.0032
66	1.478	887.08	0.0034
67	1.486	891.81	0.0010
68	1.493	896.11	0.0034
69	1.497	898.64	0.0040
70	1.500	900.29	0.0027
71	1.504	903.15	0.0027
72	1.508	905.29	0.0067
73	1.513	908.43	0.0035
74	1.519	911.73	0.0069
75	1.525	915.25	0.0035
76	1.530	918.22	0.0059
77	1.534	920.64	0.0018
78	1.541	924.88	0.0032
79	1.545	927.58	0.0019
80	1.550	930.60	0.0237
81	1.561	937.04	0.0024
82	1.565	939.63	0.0024
83	1.572	943.81	0.0024
84	1.583	950.35	0.0017
85	1.587	953.00	0.0017
86	1.594	957.12	0.0010
87	1.632	979.57	0.0025
88	1.636	982.05	0.0022
89	1.641	985.40	0.0019
90	1.647	988.70	0.0018
91	1.652	991.62	0.0019
92	1.658	995.09	0.0017
93	1.662	997.73	0.0013
94	1.699	1020.01	0.0015
95	1.703	1022.38	0.0021
96	1.709	1025.79	0.0031
97	1.712	1027.99	0.0024
98	1.716	1030.35	0.0022
99	1.719	1032.17	0.0022
100	1.724	1034.81	0.0023
101	1.727	1036.96	0.0026
102	1.730	1038.72	0.0028
103	1.737	1042.95	0.0027
104	1.744	1046.86	0.0030
105	1.748	1049.28	0.0027
106	1.756	1053.96	0.0028
107	1.761	1057.09	0.0046
108	1.766	1059.90	0.0053
109	1.769	1061.77	0.0053
110	1.773	1064.36	0.0052
111	1.778	1067.44	0.0051
112	1.780	1068.32	0.0051
113	1.784	1070.85	0.0046
114	1.791	1075.14	0.0045
115	1.793	1076.68	0.0042
116	1.798	1079.21	0.0046
117	1.811	1087.13	0.0077
118	1.814	1089.06	0.0063
119	1.820	1092.58	0.0026
120	1.831	1098.96	0.0030
121	1.836	1102.48	0.0045
122	1.842	1105.90	0.0020
123	1.848	1109.42	0.0014
124	1.859	1115.74	0.0016
125	1.864	1118.82	0.0024
126	1.869	1122.18	0.0017
127	1.874	1125.04	0.0025
128	1.880	1128.34	0.0024
129	1.885	1131.37	0.0021
130	1.890	1134.45	0.0016
131	1.896	1138.03	0.0022
132	1.900	1140.78	0.0013
133	1.911	1147.49	0.0010
134	2.009	1206.25	0.0022
135	2.016	1209.99	0.0030
136	2.021	1213.29	0.0023
137	2.030	1218.91	0.0023
138	2.036	1221.99	0.0029
139	2.042	1225.84	0.0020
140	3.574	2145.38	0.0012
141	3.581	2149.67	0.0014
142	3.592	2156.39	0.0027
143	3.599	2160.62	0.0026
144	3.610	2167.39	0.0015
145	3.618	2171.74	0.0013
146	5.153	3093.26	0.0040
