No. (ppm) (Hz) Height
1 0.00 0.0 0.5907
2 3.27 1961.3 0.2125
3 3.28 1969.4 0.2472
4 3.28 1970.8 0.2757
5 3.30 1978.8 0.2311
6 3.42 2051.7 0.2828
7 3.43 2061.3 0.5090
8 3.45 2070.8 0.3551
9 3.56 2139.1 0.1328
10 3.57 2142.9 0.1425
11 3.58 2149.1 0.1958
12 3.58 2150.9 0.3823
13 3.59 2152.8 0.2935
14 3.59 2154.8 0.3950
15 3.59 2157.5 0.1841
16 3.60 2160.8 0.5278
17 3.61 2164.6 0.4698
18 3.61 2169.7 0.3048
19 3.62 2173.9 0.6695
20 3.63 2179.7 0.3549
21 3.64 2183.6 0.9712
22 3.65 2192.8 0.4071
23 3.67 2203.3 0.3251
24 3.69 2213.0 0.5096
25 3.70 2218.8 0.1790
26 3.70 2222.1 0.3473
27 3.72 2231.0 0.1585
28 3.74 2248.0 0.1417
29 3.75 2253.2 0.1365
30 3.76 2255.6 0.2606
31 3.77 2260.5 0.2220
32 3.77 2261.9 0.2683
33 3.77 2265.1 0.4927
34 3.79 2274.1 0.5279
35 3.80 2279.5 0.4154
36 3.81 2285.5 0.1587
37 3.82 2290.5 0.6360
38 3.83 2301.0 0.5720
39 3.84 2303.3 0.6402
40 3.86 2315.4 0.5924
41 3.87 2325.8 0.2076
42 3.89 2336.6 0.1797
43 3.90 2338.4 0.2135
44 3.91 2348.8 0.1546
45 3.92 2350.7 0.2072
46 3.93 2360.5 0.2671
47 3.95 2370.4 0.3624
48 3.96 2379.6 0.3107
49 3.98 2390.3 0.1265
50 4.65 2793.5 0.4042
51 4.67 2801.5 0.3971
52 5.24 3144.5 0.2420
53 5.24 3148.3 0.2569
54 5.39 3238.0 0.5716
55 5.40 3241.9 1.0000
56 5.41 3246.0 0.4631
